time,flux,flux_err,centroid_col,centroid_row,cadenceno,quality
3312.863540846003,2065.7509765625,1.632492184638977,1845.5224085927207,1207.8903072577853,0,0
3312.8658556043492,2065.02587890625,1.6327645778656006,1845.517328421377,1207.8900775238703,1,0
3312.868170362696,2062.857177734375,1.6319315433502197,1845.5171635782854,1207.8898497876464,2,0
3312.870485121276,2064.44091796875,1.6326415538787842,1845.5197707851246,1207.8940020729385,3,0
3312.872799879622,2072.47021484375,1.6343309879302979,1845.5211446479557,1207.8889170688967,4,0
3312.875114637968,2065.7275390625,1.6326243877410889,1845.5164403698861,1207.8928564900127,5,0
3312.8774293963143,2064.84130859375,1.6328139305114746,1845.5151544399534,1207.8905209752713,6,0
3312.8797441546612,2063.39404296875,1.6322579383850098,1845.5147456862658,1207.8911771043317,7,0
3312.8820589130073,2063.087158203125,1.6335248947143555,1845.5157325274959,1207.89418464305,8,0
3312.8843736713543,2067.79248046875,1.633049488067627,1845.5210618056778,1207.8905831263617,9,0
3312.8866884297,2066.576416015625,1.6330506801605225,1845.5182455359338,1207.8869880517818,10,0
3312.889003187814,2063.19482421875,1.6325602531433105,1845.516910350702,1207.8947671329079,11,0
3312.89131794616,2067.6689453125,1.6347497701644897,1845.5209515127108,1207.8868123953216,12,0
3312.8936327045067,2065.6943359375,1.6321611404418945,1845.5222397684786,1207.88919345076,13,0
3312.89594746262,2062.3671875,1.6317552328109741,1845.5243071554557,1207.889772768812,14,0
3312.8982622209664,2062.712890625,1.6316920518875122,1845.5181309788845,1207.8926613004003,15,0
3312.900576979313,2062.61767578125,1.6320255994796753,1845.5179012040642,1207.89593820297,16,0
3312.902891737426,2063.927978515625,1.6324834823608398,1845.5144650980646,1207.8900463235743,17,0
3312.9052064955404,2064.961181640625,1.6319323778152466,1845.5182151038434,1207.8922857157115,18,0
3312.907521253886,2066.87060546875,1.6338703632354736,1845.5227658717406,1207.891955984037,19,0
3312.909836011999,2064.275634765625,1.633033037185669,1845.5143412741668,1207.894477112312,20,0
3312.912150770112,2061.648681640625,1.6318504810333252,1845.5180733477146,1207.893128807364,21,0
3312.9144655284585,2064.19189453125,1.6331650018692017,1845.5191523866797,1207.8886395773527,22,0
3312.9167802865722,2063.327880859375,1.6323797702789307,1845.5192960320774,1207.89417832701,23,0
3312.9190950446855,2065.941162109375,1.6335638761520386,1845.5154657618712,1207.8941573745954,24,0
3312.9214098027996,2062.594970703125,1.632228970527649,1845.5160720414422,1207.8902009484275,25,0
3312.923724560913,2063.2490234375,1.632305383682251,1845.5155973479154,1207.8938965092273,26,0
3312.9260393190266,2065.3603515625,1.6328318119049072,1845.5186314782716,1207.8949538665715,27,0
3312.928354076907,2061.759765625,1.6310774087905884,1845.5178047006045,1207.8916075602085,28,0
3312.9306688350207,2067.176513671875,1.6329928636550903,1845.5157172791146,1207.8934233428158,29,0
3312.932983593134,2064.56298828125,1.6327508687973022,1845.5224977319444,1207.8839076810732,30,0
3312.935298351248,2065.29443359375,1.6317224502563477,1845.520496096709,1207.8922315454356,31,0
3312.937613109129,2065.02001953125,1.6329890489578247,1845.5218547352972,1207.895052099978,32,0
3312.9399278672417,2064.54736328125,1.6325013637542725,1845.5246808307445,1207.8888314021128,33,0
3312.942242625357,2064.305419921875,1.6318336725234985,1845.5199433309022,1207.8885254896356,34,0
3312.944557383237,2064.489501953125,1.63314688205719,1845.5193889739423,1207.891035013326,35,0
3312.9468721411176,2065.623291015625,1.6331844329833984,1845.5150010707453,1207.8952728733047,36,0
3312.949186899231,2064.90380859375,1.6320304870605469,1845.5248807897626,1207.8917845704757,37,0
3312.9515016571113,2065.300048828125,1.6330232620239258,1845.5131036775877,1207.8995504555678,38,0
3312.953816414992,2063.807373046875,1.6326704025268555,1845.5197626846516,1207.8872835169082,39,0
3312.9561311731054,2065.890380859375,1.632378339767456,1845.5157734502448,1207.893780838454,40,0
3312.958445930987,2068.88232421875,1.6336387395858765,1845.5208625821756,1207.8934286406347,41,0
3312.9630754467485,2063.263916015625,1.632320523262024,1845.5202863831062,1207.8952449959359,42,0
3312.9653902046284,2061.852294921875,1.6313368082046509,1845.5167460069044,1207.8912690573575,43,0
3312.9677049625084,2063.6767578125,1.632070541381836,1845.5232633139685,1207.8907696431204,44,0
3312.9700197203892,2062.93017578125,1.6312413215637207,1845.5229578625815,1207.8907318837448,45,0
3312.9723344782697,2064.50830078125,1.6327561140060425,1845.5169808896856,1207.8887733794695,46,0
3312.97464923615,2064.64794921875,1.6315441131591797,1845.5121603919085,1207.8943595619298,47,0
3312.9769639937977,2063.6669921875,1.631502389907837,1845.5238706449256,1207.8912456530672,48,0
3312.9792787516794,2061.062744140625,1.6310155391693115,1845.5196840451993,1207.8918372200114,49,0
3312.98159350956,2061.032470703125,1.631534457206726,1845.5172769854964,1207.8976809990172,50,0
3312.9839082672074,2062.248291015625,1.631381869316101,1845.515484788381,1207.8941123990603,51,0
3312.986223025088,2061.944091796875,1.6328493356704712,1845.5171646500849,1207.8917367510085,52,0
3312.988537782737,2066.38037109375,1.6330227851867676,1845.5203822142237,1207.8909746121153,53,0
3312.990852540617,2064.534423828125,1.633384108543396,1845.5200116673373,1207.8911426617917,54,0
3312.993167298265,2064.63525390625,1.632224202156067,1845.5203236373538,1207.8894782089892,55,0
3312.9954820559133,2062.61083984375,1.6317301988601685,1845.5174969857983,1207.8973021590068,56,0
3312.997796813794,2063.63720703125,1.631567120552063,1845.5164398315676,1207.8952101478972,57,0
3313.0001115714413,2060.076171875,1.6308033466339111,1845.5223918973552,1207.8908558314702,58,0
