2459810.888257 17.147248 nan
2459810.895201 17.024118 nan
2459810.902145 16.912020 nan
2459810.916034 17.139101 nan
2459810.929923 17.055858 nan
2459810.936867 17.146634 nan
2459810.957700 17.151828 nan
2459810.964645 16.973597 nan
2459810.971589 17.074513 nan
2459810.978533 16.861553 nan
2459810.985478 17.045419 nan
2459810.992422 17.006345 nan
2459810.999366 17.161501 nan
2459811.006311 17.072084 nan
2459811.013255 16.851748 nan
2459811.020199 17.136253 nan
2459811.027144 16.857744 nan
2459811.034088 16.968211 nan
2459811.041032 16.832408 nan
2459811.047977 16.764264 nan
2459811.054921 16.980734 nan
2459811.061865 16.991923 nan
2459811.068810 16.808054 nan
2459811.075754 16.649375 nan
2459811.082698 16.801928 nan
2459811.089643 16.588717 nan
2459811.096587 16.496142 nan
2459811.103531 16.833224 nan
2459811.110476 16.537370 nan
2459811.117420 16.743870 nan
2459811.124365 16.556274 nan
2459811.131309 16.788221 nan
2459811.138253 16.791417 nan
2459811.145198 16.669656 nan
2459811.152142 16.549116 nan
2459811.159086 16.767565 nan
2459811.166031 16.582203 nan
2459811.172975 16.485775 nan
2459811.179919 16.550876 nan
2459811.186864 16.623337 nan
2459811.193808 16.483345 nan
2459811.200752 16.503683 nan
2459811.207697 16.499034 nan
2459811.214641 16.673759 nan
2459811.221585 16.418339 nan
2459811.228530 16.342468 nan
2459811.235474 16.493285 nan
2459811.242418 16.472159 nan
2459811.249363 16.416707 nan
2459811.256307 16.478530 nan
2459811.263251 16.500239 nan
2459811.270196 16.399660 nan
2459811.277140 16.412254 nan
2459811.284084 16.384556 nan
2459811.291029 16.434013 nan
2459811.297973 16.363249 nan
2459811.304918 16.476451 nan
2459811.311862 16.404223 nan
2459811.318806 16.460165 nan
2459811.325751 16.255368 nan
2459811.332695 16.243461 nan
2459811.339639 16.331699 nan
2459811.346584 16.489980 nan
2459811.353528 16.265921 nan
2459811.360472 16.373834 nan
2459811.367417 16.403804 nan
2459811.374361 16.331837 nan
2459811.381305 16.329853 nan
2459811.388250 16.250979 nan
2459811.395194 16.188430 nan
2459811.402138 16.179419 nan
2459811.409083 16.135696 nan
2459811.416027 16.060579 nan
2459811.422971 16.049300 nan
2459811.429916 16.028969 nan
2459811.436860 16.076029 nan
2459811.443804 16.057153 nan
2459811.450749 16.063772 nan
2459811.457693 15.929327 nan
2459811.464637 15.959763 nan
2459811.471582 15.944643 nan
2459811.478526 15.979680 nan
2459811.485470 16.003297 nan
2459811.492415 15.889243 nan
2459811.499359 15.941151 nan
2459811.506303 15.845551 nan
2459811.513248 15.826355 nan
2459811.520192 15.847092 nan
2459811.527136 15.868304 nan
2459811.534081 15.892962 nan
2459811.541025 15.870936 nan
2459811.547969 15.917549 nan
2459811.554914 15.857602 nan
2459811.561858 15.924249 nan
2459811.568802 16.021593 nan
2459811.575747 16.043453 nan
2459811.582691 16.033971 nan
2459811.589635 16.006094 nan
2459811.596580 15.962666 nan
2459811.603524 15.905044 nan
2459811.610468 15.946497 nan
2459811.617413 15.915836 nan
2459811.624357 15.905914 nan
2459811.631302 15.863197 nan
2459811.638246 15.814999 nan
2459811.645190 15.794500 nan
2459811.652135 15.766801 nan
2459811.659079 15.816644 nan
2459811.666023 15.801747 nan
2459811.672968 15.762554 nan
2459811.679912 15.769461 nan
2459811.686856 15.794341 nan
2459811.693801 15.811759 nan
2459811.700745 15.809545 nan
2459811.707689 15.817244 nan
2459811.714634 15.840968 nan
2459811.721578 15.839611 nan
2459811.728522 15.813969 nan
2459811.735467 15.822930 nan
2459811.742411 15.850873 nan
2459811.749355 15.879909 nan
2459811.756300 15.881223 nan
2459811.763244 15.826966 nan
2459811.770188 15.779926 nan
2459811.777133 15.913490 nan
2459811.784077 15.792140 nan
2459811.791021 15.806347 nan
2459811.797966 15.755364 nan
2459811.804910 15.713764 nan
2459811.811854 15.696013 nan
2459811.818799 15.749888 nan
2459811.825743 15.702158 nan
2459811.832687 15.677180 nan
2459811.839632 15.617889 nan
2459811.846576 15.669435 nan
2459811.853520 15.655414 nan
2459811.860465 15.663268 nan
2459811.867409 15.644289 nan
2459811.874353 15.547540 nan
2459811.881298 15.528446 nan
2459811.888242 15.580951 nan
2459811.895186 15.556515 nan
2459811.902131 15.539329 nan
2459811.909075 15.581958 nan
2459811.916019 15.592023 nan
2459811.922964 15.597361 nan
2459811.929908 15.516434 nan
2459811.936852 15.650642 nan
2459811.943797 15.581935 nan
2459811.950741 15.571635 nan
2459811.957685 15.642268 nan
2459811.964630 15.522764 nan
2459811.971574 15.540674 nan
2459811.978518 15.595574 nan
2459811.985463 15.606064 nan
2459811.992407 15.579429 nan
2459811.999351 15.501693 nan
2459812.006296 15.500118 nan
2459812.013240 15.502471 nan
2459812.020184 15.402180 4.973255
2459812.027129 15.411001 5.290781
2459812.034073 15.419440 nan
2459812.041017 15.341346 2.949494
2459812.047962 15.350179 3.023071
2459812.054906 15.378207 3.582382
2459812.061850 15.394408 4.277750
2459812.068795 15.402760 5.108789
2459812.075739 15.390657 3.724442
2459812.082683 15.392831 4.331995
2459812.089628 15.400810 4.457978
2459812.096572 15.357066 3.201243
2459812.103516 15.452355 nan
2459812.110461 15.420991 nan
2459812.117405 15.371547 3.325472
2459812.124349 15.411205 7.773725
2459812.131294 15.426819 nan
2459812.138238 15.436879 nan
2459812.145182 15.436386 nan
2459812.152127 15.433895 nan
2459812.159071 15.394053 4.217916
2459812.166015 15.341858 2.959865
2459812.172960 15.385336 3.902181
2459812.179904 15.345221 3.057240
2459812.186848 15.310186 2.580361
